Date,population,Gold price,Oil price,S&P index,GNI,Inflation,Realestate index,IT index
11/1/2015,321.50,1086.44,38.19,"2,080.62",18729.858,0.5,293.78,"5,108.67"
12/1/2015,321.71,1075.74,32.26,"2,054.08",18729.858,0.7,295.06,"5,007.41"
1/1/2016,321.86,1097.91,27.02,"1,918.60",18806.704,1.4,282.85,"4,613.95"
2/1/2016,322.04,1199.5,25.52,"1,904.42",18806.704,1,280.14,"4,557.95"
3/1/2016,322.20,1245.14,31.87,"2,021.95",18806.704,0.9,307.21,"4,869.85"
4/1/2016,322.37,1242.26,35.59,"2,075.54",18846.161,1.1,301.55,"4,775.36"
5/1/2016,322.55,1260.95,41.02,"2,065.55",18846.161,1,307.91,"4,948.06"
6/1/2016,322.73,1276.4,43.96,"2,083.89",18846.161,1,324.84,"4,842.67"
7/1/2016,322.94,1336.66,40.71,"2,148.90",19020.698,0.8,336.63,"5,162.13"
8/1/2016,323.14,1340.17,40.46,"2,170.95",19020.698,1.1,324.67,"5,213.22"
9/1/2016,323.35,1326.61,40.55,"2,157.69",19020.698,1.5,318.03,"5,312.00"
10/1/2016,323.56,1266.55,45,"2,143.02",19259.911,1.6,301.88,"5,189.14"
11/1/2016,323.74,1238.35,41.65,"2,164.99",19259.911,1.7,294.53,"5,323.68"
12/1/2016,323.91,1157.36,47.12,"2,246.63",19259.911,2.1,304.84,"5,383.12"
1/1/2017,324.08,1192.1,48.19,"2,275.12",19509.288,2.5,305.2,"5,614.79"
2/1/2017,324.21,1234.2,49.41,"2,329.91",19509.288,2.7,317.97,"5,825.44"
3/1/2017,324.34,1231.42,46.39,"2,366.82",19509.288,2.4,311.62,"5,911.74"
4/1/2017,324.48,1266.88,47.23,"2,359.31",19670.091,2.2,312.92,"6,047.61"
5/1/2017,324.64,1246.04,45.19,"2,395.35",19670.091,1.9,312.17,"6,198.52"
6/1/2017,324.80,1260.26,42.17,"2,433.99",19670.091,1.6,316.44,"6,140.42"
7/1/2017,324.99,1236.84,43.42,"2,454.10",19910.082,1.7,319.89,"6,348.12"
8/1/2017,325.16,1283.04,44.96,"2,456.22",19910.082,1.9,321.38,"6,428.66"
9/1/2017,325.34,1314.07,47.17,"2,492.84",19910.082,2.2,316.91,"6,495.96"
10/1/2017,325.51,1279.51,49.12,"2,557.00",20259.139,2,316.76,"6,727.67"
11/1/2017,325.66,1281.9,55.19,"2,593.61",20259.139,2.2,324.12,"6,873.97"
12/1/2017,325.80,1264.45,56.98,"2,664.34",20259.139,2.1,321.69,"6,903.39"
1/1/2018,325.93,1331.3,62.25,"2,789.80",20519.779,2.1,312.15,"7,411.48"
2/1/2018,326.03,1330.73,61.18,"2,705.16",20519.779,2.2,290.68,"7,273.01"
3/1/2018,326.14,1324.66,60.68,"2,702.77",20519.779,2.4,299.62,"7,063.44"
4/1/2018,326.26,1334.76,63.5,"2,653.63",20773.671,2.5,299.87,"7,066.27"
5/1/2018,326.39,1303.45,66.16,"2,701.49",20773.671,2.8,309.06,"7,442.12"
6/1/2018,326.53,1281.57,62.8,"2,754.35",20773.671,2.9,319.48,"7,510.30"
7/1/2018,326.69,1237.71,67,"2,793.64",21029.08,2.9,321.91,"7,671.79"
8/1/2018,326.85,1201.71,62.64,"2,857.82",21029.08,2.7,328.87,"8,109.54"
9/1/2018,327.01,1198.39,63.54,"2,901.50",21029.08,2.3,318.33,"8,046.35"
10/1/2018,327.17,1215.39,65.18,"2,785.46",21211.006,2.5,309.24,"7,305.90"
11/1/2018,327.31,1220.65,55.65,"2,723.23",21211.006,2.2,323,"7,330.54"
12/1/2018,327.43,1250.4,47.63,"2,567.31",21211.006,1.9,295.97,"6,635.28"
1/1/2019,327.54,1291.75,48,"2,607.39",21492.264,1.6,329.45,"7,281.74"
2/1/2019,327.64,1320.07,52.6,"2,754.86",21492.264,1.5,331.42,"7,532.53"
3/1/2019,327.73,1300.9,57.46,"2,803.98",21492.264,1.9,343.33,"7,729.32"
4/1/2019,327.84,1285.91,63,"2,903.80",21646.003,2,342.66,"8,095.39"
5/1/2019,327.96,1283.7,59.73,"2,854.71",21646.003,1.8,341.92,"7,453.15"
6/1/2019,328.10,1359.04,54.34,"2,890.17",21646.003,1.6,346.08,"8,006.24"
7/1/2019,328.24,1412.89,56.47,"2,996.11",21841.383,1.8,351.98,"8,175.42"
8/1/2019,328.41,1500.41,53.63,"2,897.50",21841.383,1.7,363.42,"7,962.88"
9/1/2019,328.58,1510.58,55.14,"2,982.16",21841.383,1.7,368.02,"7,999.33"
10/1/2019,328.74,1494.81,53.14,"2,977.68",22063.734,1.8,370.72,"8,292.36"
11/1/2019,328.89,1470.79,54.96,"3,104.90",22063.734,2.1,366.19,"8,665.47"
12/1/2019,329.02,1479.13,58.41,"3,176.75",22063.734,2.3,367.38,"8,972.60"
1/1/2020,329.14,1560.67,56.55,"3,278.20",22041.898,2.5,372.57,"9,150.94"
2/1/2020,329.24,1597.1,49.66,"3,277.31",22041.898,2.3,346.06,"8,567.37"
3/1/2020,329.34,1591.93,31.01,"2,652.39",22041.898,1.5,275.16,"7,700.10"
4/1/2020,331.45,1683.17,15.18,"2,761.98",19979.435,0.3,299.62,"8,889.55"
5/1/2020,331.43,1715.91,18.02,"2,919.61",19979.435,0.1,304.82,"9,489.87"
6/1/2020,331.45,1732.22,33.81,"3,104.66",19979.435,0.6,310.65,"10,058.76"
7/1/2020,331.51,1846.51,37.44,"3,207.62",21498.004,1,323.24,"10,745.27"
8/1/2020,331.59,1968.63,39.37,"3,391.71",21498.004,1.3,323.53,"11,775.46"
9/1/2020,331.66,1921.92,36.82,"3,365.52",21498.004,1.4,314.37,"11,167.68"
10/1/2020,331.75,1900.27,36.39,"3,418.70",22399.015,1.2,304.78,"10,911.59"
11/1/2020,331.81,1866.3,38.25,"3,548.99",22399.015,1.2,329.4,"12,198.74"
12/1/2020,331.82,1858.42,43.92,"3,695.31",22399.015,1.4,335.7,"12,888.28"
1/1/2021,331.78,1866.98,49.47,"3,793.75",22902.959,1.4,334.49,"13,070.69"
2/1/2021,331.72,1808.17,56.44,"3,883.43",22902.959,1.7,341.47,"13,192.35"
3/1/2021,331.73,1718.23,60.43,"3,910.51",22902.959,2.6,359.01,"13,246.87"
4/1/2021,331.79,1760.04,59.87,"4,141.18",23449.659,4.2,387.37,"13,962.68"
5/1/2021,331.86,1850.26,62.8,"4,167.85",23449.659,5,390.87,"13,748.74"
6/1/2021,331.93,1834.57,68.58,"4,238.49",23449.659,5.4,397.98,"14,503.95"
